step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
349944,316.72418212890625,-0.5931717753410339,1.0000687837600708,0.47400763630867004,0.8432050943374634,0.680833637714386,,,,,,,,,,,,8.0,2.5946836471557617,0.0,2.7631337642669678,14.0,8.477632522583008,6.0,2.6226513385772705,-2.673137664794922,0.2756878733634949,-0.002597413258627057,0.7930790185928345,192.9166717529297,-127.69630432128906,-89.3498764038086
350208,23.480661392211914,-0.7472898960113525,0.8701505064964294,0.9130534529685974,0.7997304797172546,0.604373574256897,0.9791399836540222,0.91681307554245,0.6427814364433289,4.411235332489014,66.84515380859375,0.035072702914476395,-4.686622142791748,109.0,48.34982681274414,0.4793521463871002,9216.0,,,,,,,,,,,,,,,
359424,55.13811492919922,-0.36733850836753845,0.9737449884414673,0.5395302772521973,0.8135358691215515,0.6395934224128723,0.935778796672821,0.9055963754653931,0.6445035934448242,4.4331488609313965,70.98600006103516,0.036085113883018494,-4.755770683288574,108.0,51.254390716552734,0.47887149453163147,9216.0,,,,,,,,,-2.666142463684082,0.5532916784286499,-0.002161662559956312,0.5970092415809631,,,
368640,483.5108337402344,-0.5418320298194885,1.0741502046585083,0.8831985592842102,1.0314403772354126,0.6885484457015991,0.9919978976249695,0.906241238117218,0.6367061138153076,4.442344665527344,59.01119613647461,0.03225981444120407,-4.7214202880859375,112.0,61.43983840942383,0.48868390917778015,9216.0,8.0,2.5804598331451416,0.0,2.7696354389190674,14.0,8.446365356445312,6.0,2.626007318496704,-2.6610095500946045,0.4581340253353119,-0.002975053619593382,0.6483895182609558,,,
377856,629.834228515625,-0.5944951176643372,1.060584306716919,1.1613082885742188,0.7675041556358337,0.6492558121681213,0.9460549354553223,0.9132812023162842,0.6538018584251404,4.454992294311523,67.7173080444336,0.03663523495197296,-4.750665664672852,115.0,55.83867263793945,0.4975818693637848,9216.0,8.0,2.5807578563690186,0.0,2.7743587493896484,14.0,8.393669128417969,6.0,2.617678642272949,-2.659510850906372,0.6816326379776001,-0.0027983980253338814,1.022696614265442,,,
387072,539.3690185546875,-0.6800404787063599,1.1339424848556519,0.7250567078590393,0.9958539009094238,0.6385233998298645,0.9634376168251038,0.9430643320083618,0.6517887115478516,4.475149154663086,69.6430892944336,0.03907245397567749,-4.667259216308594,115.0,46.746238708496094,0.49853816628456116,9216.0,8.0,2.5735926628112793,0.0,2.780336380004883,14.0,8.353841781616211,6.0,2.6086549758911133,-2.6557810306549072,0.3490775227546692,-0.002216335851699114,0.9093526601791382,,,
396288,139.9801788330078,-0.3214268982410431,1.0643644332885742,0.6423337459564209,0.9672927260398865,0.6604394912719727,0.9299221634864807,0.9454637169837952,0.6487416625022888,4.482839107513428,75.79993438720703,0.04232093319296837,-4.628989219665527,118.0,34.286766052246094,0.5048279762268066,9216.0,8.0,2.573040723800659,0.0,2.780524492263794,14.0,8.300424575805664,6.0,2.595853090286255,-2.6513144969940186,0.05363195762038231,-0.0009455621475353837,0.65690678358078,,,
399936,20.387575149536133,-0.15879780054092407,0.9455552697181702,0.9096769690513611,1.0633785724639893,0.648239254951477,,,,,,,,,,,,,,,,,,,,-2.6460938453674316,0.4918178915977478,-0.004383154679089785,0.3197726607322693,192.0833282470703,-117.51589965820312,-127.69630432128906
405504,592.0997924804688,-0.5917454361915588,1.0277944803237915,1.087873935699463,0.9194662570953369,0.5976477265357971,0.9983156323432922,0.9504219889640808,0.6517816185951233,4.492311000823975,58.40668487548828,0.03208396956324577,-4.73313045501709,115.0,61.05985641479492,0.5028817653656006,9216.0,,,,,,,,,,,,,,,
414720,347.564697265625,-0.673690915107727,1.0739719867706299,0.4562816619873047,0.7451112866401672,0.6350042223930359,0.8629966378211975,0.9182415008544922,0.6532307267189026,4.5090012550354,69.56727600097656,0.03894289955496788,-4.780107498168945,114.0,54.237422943115234,0.500852108001709,9216.0,8.0,2.585129737854004,0.0,2.7980971336364746,14.0,8.249260902404785,6.0,2.5862460136413574,-2.642746925354004,1.5775545835494995,-0.003217071294784546,1.229237675666809,,,
