step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
319488,347.48358154296875,-0.22284114360809326,1.0151573419570923,1.103276252746582,1.9815101623535156,0.43441152572631836,0.66884446144104,1.3291938304901123,0.44114482402801514,0.5477196574211121,-598.920654296875,-0.021291518583893776,-0.20346182584762573,55.0,226.88436889648438,0.04939069598913193,8192.0,-2.1577601432800293,0.013881547376513481,0.00046038866275921464,0.0332166887819767,,,,,,,,,,,
327680,177.99935913085938,0.236558198928833,1.0289688110351562,0.4942409098148346,1.2867636680603027,0.4377591907978058,0.6505540609359741,1.3286851644515991,0.4378947913646698,0.5494260191917419,-586.2525634765625,-0.021813319995999336,-0.8692094683647156,51.0,205.73228454589844,0.04838474094867706,8192.0,-2.1495816707611084,-0.011578673496842384,-0.006465292070060968,0.03245004266500473,30.0,16.64066505432129,4.0,9.700729370117188,4.0,2.583092212677002,0.5999999046325684,1.099219799041748,,,
335872,192.180908203125,0.34574151039123535,0.9533273577690125,1.0200343132019043,1.5359030961990356,0.5320124626159668,0.7045880556106567,1.3441590070724487,0.43798938393592834,0.5524733066558838,-603.2282104492188,-0.02224753238260746,-0.7812591791152954,53.0,186.12997436523438,0.049484625458717346,8192.0,-2.144550323486328,0.006058190017938614,-0.012891537509858608,0.03410353139042854,,,,,,,,,,,
344064,632.4117431640625,0.11938969790935516,0.9672621488571167,0.7791104316711426,1.2916086912155151,0.4459674656391144,0.7929047346115112,1.390147089958191,0.4488239884376526,0.5486894249916077,-679.7937622070312,-0.02269679307937622,-0.4675595164299011,51.0,276.5767517089844,0.04834754392504692,8192.0,-2.133274555206299,-0.023896431550383568,-0.02178923226892948,0.02704104408621788,,,,,,,,,,,
350000,396.168212890625,0.11408129334449768,1.0149002075195312,0.7574460506439209,1.3128314018249512,0.3202958405017853,,,,,,,,,,,,-2.111882209777832,-0.011726650409400463,-0.0107843317091465,0.03332934528589249,,,,,,,,,201.5625,-712.919189453125,-521.6345825195312
352256,617.344482421875,0.03917255997657776,1.0000802278518677,1.1680599451065063,1.2122480869293213,0.4556064307689667,0.6724053025245667,1.31299889087677,0.41305792331695557,0.5523622035980225,-594.8111572265625,-0.02133026532828808,-3.008749485015869,54.0,221.35643005371094,0.05825073644518852,8192.0,,,,,30.0,16.72317886352539,4.0,9.855801582336426,4.0,2.5620477199554443,0.5999999046325684,1.0923349857330322,,,
360448,409.78887939453125,0.02192074991762638,0.9999253749847412,0.46747100353240967,1.1666324138641357,0.4114397466182709,0.758983314037323,1.3712934255599976,0.43327856063842773,0.5515561103820801,-664.7110595703125,-0.02295946516096592,-2.9698846340179443,51.0,242.88963317871094,0.057748716324567795,8192.0,-2.097836971282959,-0.0082849794998765,-0.004470628686249256,0.06881806999444962,,,,,,,,,,,
368640,377.775390625,0.18860602378845215,0.9917711019515991,0.6981908679008484,1.0856974124908447,0.4603017568588257,0.7130391001701355,1.3007515668869019,0.4404084384441376,0.5532652735710144,-604.941162109375,-0.0217115581035614,-0.4174221158027649,51.0,183.2528839111328,0.04813646152615547,8192.0,-2.0945639610290527,0.005665943957865238,0.0007383801275864244,0.0576791875064373,,,,,,,,,,,
376832,245.7496337890625,0.182625874876976,1.009946584701538,0.17320595681667328,1.0740430355072021,0.37696221470832825,0.6839074492454529,1.3785146474838257,0.43287569284439087,0.5529539585113525,-622.3655395507812,-0.020988352596759796,-0.349845290184021,50.0,227.0940704345703,0.0473378524184227,8192.0,-2.088864326477051,-0.01593751087784767,-0.013963216915726662,0.03528067469596863,,,,,,,,,,,
385024,217.73519897460938,0.4118468165397644,0.9373517632484436,0.792467474937439,1.452581763267517,0.4795618951320648,0.6254464387893677,1.2924121618270874,0.42629510164260864,0.55416339635849,-575.8259887695312,-0.02006291039288044,-0.4420965611934662,50.0,172.43997192382812,0.047282710671424866,8192.0,-2.077802896499634,0.012096059508621693,-0.0045648375526070595,0.041517723351716995,30.0,16.430118560791016,4.0,10.031558990478516,4.0,2.5035955905914307,0.5999999046325684,1.0869628190994263,,,
